1 aggregate
2 boiler
3 solar_thermal_pump
4 laptop
5 washing_machine
6 dishwasher
7 tv
8 kitchen_lights
9 htpc
10 kettle
11 toaster
12 fridge
13 microwave
14 lcd_office
15 hifi_office
16 breadmaker
17 amp_livingroom
18 adsl_router
19 livingroom_s_lamp
20 soldering_iron
21 gigE_&_USBhub
22 hoover
23 kitchen_dt_lamp
24 bedroom_ds_lamp
25 lighting_circuit
26 livingroom_s_lamp2
27 iPad_charger
28 subwoofer_livingroom
29 livingroom_lamp_tv
30 DAB_radio_livingroom
31 kitchen_lamp2
32 kitchen_phone&stereo
33 utilityrm_lamp
34 samsung_charger
35 bedroom_d_lamp
36 coffee_machine
37 kitchen_radio
38 bedroom_chargers
39 hair_dryer
40 straighteners
41 iron
42 gas_oven
43 data_logger_pc
44 childs_table_lamp
45 childs_ds_lamp
46 baby_monitor_tx
47 battery_charger
48 office_lamp1
49 office_lamp2
50 office_lamp3
51 office_pc
52 office_fan
53 LED_printer
